1.844963,0.381537,0.382124,-1.109979,-0.229033,1.562053,0.583545
1.844961,0.381528,0.382117,-1.109994,-0.229026,1.562057,0.583537
1.844959,0.381518,0.382109,-1.110009,-0.229019,1.562060,0.583530
1.844958,0.381509,0.382102,-1.110023,-0.229013,1.562064,0.583523
1.844956,0.381500,0.382095,-1.110038,-0.229006,1.562067,0.583515
1.844954,0.381490,0.382088,-1.110053,-0.228999,1.562070,0.583508
1.844952,0.381481,0.382081,-1.110068,-0.228992,1.562074,0.583501
1.844950,0.381471,0.382074,-1.110083,-0.228986,1.562077,0.583494
1.844948,0.381462,0.382066,-1.110098,-0.228979,1.562081,0.583486
1.844946,0.381453,0.382059,-1.110113,-0.228972,1.562084,0.583479
1.844944,0.381443,0.382052,-1.110127,-0.228965,1.562087,0.583472
1.844942,0.381434,0.382045,-1.110142,-0.228959,1.562091,0.583465
1.844940,0.381425,0.382038,-1.110157,-0.228952,1.562094,0.583457
1.844939,0.381415,0.382031,-1.110172,-0.228945,1.562098,0.583450
1.844937,0.381406,0.382024,-1.110187,-0.228939,1.562101,0.583443
1.844935,0.381396,0.382016,-1.110202,-0.228932,1.562104,0.583436
1.844933,0.381387,0.382009,-1.110217,-0.228925,1.562108,0.583428
1.844931,0.381378,0.382002,-1.110232,-0.228918,1.562111,0.583421
1.844929,0.381368,0.381995,-1.110246,-0.228912,1.562115,0.583414
1.844927,0.381359,0.381988,-1.110261,-0.228905,1.562118,0.583407
1.844925,0.381350,0.381981,-1.110276,-0.228898,1.562121,0.583399
1.844923,0.381340,0.381973,-1.110291,-0.228891,1.562125,0.583392
1.844921,0.381331,0.381966,-1.110306,-0.228885,1.562128,0.583385
1.844919,0.381321,0.381959,-1.110321,-0.228878,1.562131,0.583378
1.844918,0.381312,0.381952,-1.110336,-0.228871,1.562135,0.583370
1.844916,0.381303,0.381945,-1.110350,-0.228865,1.562138,0.583363
1.844914,0.381293,0.381938,-1.110365,-0.228858,1.562142,0.583356
1.844912,0.381284,0.381930,-1.110380,-0.228851,1.562145,0.583349
1.844910,0.381275,0.381923,-1.110395,-0.228844,1.562148,0.583341
1.844908,0.381265,0.381916,-1.110410,-0.228838,1.562152,0.583334
1.844906,0.381256,0.381909,-1.110425,-0.228831,1.562155,0.583327
1.844904,0.381246,0.381902,-1.110440,-0.228824,1.562159,0.583320
1.844902,0.381237,0.381895,-1.110454,-0.228817,1.562162,0.583312
1.844900,0.381228,0.381887,-1.110469,-0.228811,1.562165,0.583305
1.844898,0.381218,0.381880,-1.110484,-0.228804,1.562169,0.583298
1.844897,0.381209,0.381873,-1.110499,-0.228797,1.562172,0.583290
1.844895,0.381200,0.381866,-1.110514,-0.228791,1.562176,0.583283
1.844893,0.381190,0.381859,-1.110529,-0.228784,1.562179,0.583276
1.844891,0.381181,0.381852,-1.110544,-0.228777,1.562182,0.583269
1.844889,0.381171,0.381844,-1.110559,-0.228770,1.562186,0.583261
1.844887,0.381162,0.381837,-1.110573,-0.228764,1.562189,0.583254
1.844885,0.381153,0.381830,-1.110588,-0.228757,1.562193,0.583247
1.844883,0.381143,0.381823,-1.110603,-0.228750,1.562196,0.583240
1.844881,0.381134,0.381816,-1.110618,-0.228743,1.562199,0.583232
1.844879,0.381125,0.381809,-1.110633,-0.228737,1.562203,0.583225
1.844878,0.381115,0.381801,-1.110648,-0.228730,1.562206,0.583218
1.844876,0.381106,0.381794,-1.110663,-0.228723,1.562210,0.583211
1.844874,0.381096,0.381787,-1.110677,-0.228717,1.562213,0.583203
1.844872,0.381087,0.381780,-1.110692,-0.228710,1.562216,0.583196
1.844870,0.381078,0.381773,-1.110707,-0.228703,1.562220,0.583189
1.844868,0.381068,0.381766,-1.110722,-0.228696,1.562223,0.583182
1.844866,0.381059,0.381758,-1.110737,-0.228690,1.562226,0.583174
1.844864,0.381050,0.381751,-1.110752,-0.228683,1.562230,0.583167
1.844862,0.381040,0.381744,-1.110767,-0.228676,1.562233,0.583160
1.844860,0.381031,0.381737,-1.110781,-0.228669,1.562237,0.583153
1.844858,0.381021,0.381730,-1.110796,-0.228663,1.562240,0.583145
1.844857,0.381012,0.381723,-1.110811,-0.228656,1.562243,0.583138
1.844855,0.381003,0.381715,-1.110826,-0.228649,1.562247,0.583131
1.844853,0.380993,0.381708,-1.110841,-0.228643,1.562250,0.583124
1.844851,0.380984,0.381701,-1.110856,-0.228636,1.562254,0.583116
1.844849,0.380975,0.381694,-1.110871,-0.228629,1.562257,0.583109
1.844847,0.380965,0.381687,-1.110886,-0.228622,1.562260,0.583102
1.844845,0.380956,0.381680,-1.110900,-0.228616,1.562264,0.583094
1.844843,0.380946,0.381673,-1.110915,-0.228609,1.562267,0.583087
1.844841,0.380937,0.381665,-1.110930,-0.228602,1.562271,0.583080
1.844839,0.380928,0.381658,-1.110945,-0.228595,1.562274,0.583073
1.844837,0.380918,0.381651,-1.110960,-0.228589,1.562277,0.583065
1.844836,0.380909,0.381644,-1.110975,-0.228582,1.562281,0.583058
1.844834,0.380900,0.381637,-1.110990,-0.228575,1.562284,0.583051
1.844832,0.380890,0.381630,-1.111004,-0.228569,1.562288,0.583044
1.844830,0.380881,0.381622,-1.111019,-0.228562,1.562291,0.583036
1.844828,0.380871,0.381615,-1.111034,-0.228555,1.562294,0.583029
1.844826,0.380862,0.381608,-1.111049,-0.228548,1.562298,0.583022
1.844824,0.380853,0.381601,-1.111064,-0.228542,1.562301,0.583015
1.844822,0.380843,0.381594,-1.111079,-0.228535,1.562305,0.583007
1.844820,0.380834,0.381587,-1.111094,-0.228528,1.562308,0.583000
1.844818,0.380825,0.381579,-1.111108,-0.228521,1.562311,0.582993
1.844817,0.380815,0.381572,-1.111123,-0.228515,1.562315,0.582986
1.844815,0.380806,0.381565,-1.111138,-0.228508,1.562318,0.582978
1.844813,0.380796,0.381558,-1.111153,-0.228501,1.562322,0.582971
1.844811,0.380787,0.381550,-1.111169,-0.228494,1.562325,0.582964
1.844809,0.380777,0.381543,-1.111184,-0.228487,1.562329,0.582956
1.844807,0.380767,0.381536,-1.111199,-0.228480,1.562332,0.582949
1.844805,0.380758,0.381528,-1.111215,-0.228473,1.562336,0.582941
1.844803,0.380748,0.381521,-1.111230,-0.228466,1.562339,0.582933
1.844801,0.380738,0.381513,-1.111246,-0.228459,1.562343,0.582926
